town,buffer,wateryear,metric,value
Bovill,10mibuffer,1981,durtmaxgt90th,16
Bovill,10mibuffer,1982,durtmaxgt90th,0
Bovill,10mibuffer,1983,durtmaxgt90th,6
Bovill,10mibuffer,1984,durtmaxgt90th,0
Bovill,10mibuffer,1985,durtmaxgt90th,0
Bovill,10mibuffer,1986,durtmaxgt90th,9
Bovill,10mibuffer,1987,durtmaxgt90th,0
Bovill,10mibuffer,1988,durtmaxgt90th,18
Bovill,10mibuffer,1989,durtmaxgt90th,0
Bovill,10mibuffer,1990,durtmaxgt90th,0
Bovill,10mibuffer,1991,durtmaxgt90th,0
Bovill,10mibuffer,1992,durtmaxgt90th,13
Bovill,10mibuffer,1993,durtmaxgt90th,0
Bovill,10mibuffer,1994,durtmaxgt90th,0
Bovill,10mibuffer,1995,durtmaxgt90th,0
Bovill,10mibuffer,1996,durtmaxgt90th,0
Bovill,10mibuffer,1997,durtmaxgt90th,0
Bovill,10mibuffer,1998,durtmaxgt90th,0
Bovill,10mibuffer,1999,durtmaxgt90th,0
Bovill,10mibuffer,2000,durtmaxgt90th,6
Bovill,10mibuffer,2001,durtmaxgt90th,6
Bovill,10mibuffer,2002,durtmaxgt90th,0
Bovill,10mibuffer,2003,durtmaxgt90th,0
Bovill,10mibuffer,2004,durtmaxgt90th,0
Bovill,10mibuffer,2005,durtmaxgt90th,7
Bovill,10mibuffer,2006,durtmaxgt90th,0
Bovill,10mibuffer,2007,durtmaxgt90th,0
Bovill,10mibuffer,2008,durtmaxgt90th,0
Bovill,10mibuffer,2009,durtmaxgt90th,6
Bovill,10mibuffer,2010,durtmaxgt90th,6
Bovill,10mibuffer,2011,durtmaxgt90th,6
Bovill,10mibuffer,2012,durtmaxgt90th,0
Bovill,10mibuffer,2013,durtmaxgt90th,0
Bovill,10mibuffer,2014,durtmaxgt90th,0
Bovill,10mibuffer,2015,durtmaxgt90th,14
Bovill,10mibuffer,2016,durtmaxgt90th,25
Bovill,10mibuffer,2017,durtmaxgt90th,7
Bovill,10mibuffer,2018,durtmaxgt90th,0
Bovill,10mibuffer,2019,durtmaxgt90th,8
Bovill,10mibuffer,2020,durtmaxgt90th,0
Bovill,10mibuffer,2021,durtmaxgt90th,7
Bovill,10mibuffer,2022,durtmaxgt90th,20
Bovill,10mibuffer,2023,durtmaxgt90th,0
Bovill,10mibuffer,2024,durtmaxgt90th,6
Bovill,10mibuffer,2025,durtmaxgt90th,0
Bovill,10mibuffer,1980,firehighdays_bi90,13
